Student_ID,Gender,Age,City,Department,Semester,Matric_Marks,Intermediate_Marks,Entry_Test_Score,Current_CGPA,Previous_Semester_GPA,Attendance_Percentage,Study_Hours_Per_Day,Sleep_Hours,Social_Media_Hours,Stress_Level,Motivation_Level,Discipline_Level,Programming_Skill_Level,Python_Knowledge,Java_Knowledge,Database_Knowledge,ML_Knowledge,Web_Development_Skill,GitHub_Projects_Count,Certifications_Count,Internship_Experience,Internship_Duration_Months,Scholarship,Hostel_Resident,Financial_Background,Transport_Mode,Communication_Skill,English_Level,Resume_Score,Job_Applications_Submitted,Offer_Letters_Received,Placement_Status
1,Female,19,Mardan,CS,5,1056,879,41,2.98,2.51,55,2.2,7.4,4.4,Low,Low,High,Beginner,1,3,3,8,9,17,0,No,0,Yes,No,High,Bike,4,Good,99,27,2,Placed
2,Female,19,Mardan,IT,7,622,973,88,2.84,3.31,46,3.2,5.3,2.1,Low,Medium,Medium,Intermediate,6,1,8,4,10,18,5,Yes,11,Yes,No,Low,Car,4,Good,38,29,5,Placed
3,Female,21,Mardan,DS,2,836,794,64,3.97,4.0,78,5.3,5.2,3.2,Low,High,Medium,Intermediate,8,3,10,5,0,1,3,No,0,Yes,Yes,High,Bike,6,Average,81,25,5,Placed
4,Female,21,Abbottabad,DS,7,670,860,93,1.73,1.28,97,4.9,9.0,2.2,High,High,Low,Advanced,1,2,10,2,10,19,6,No,0,No,No,High,Bus,2,Good,79,43,4,Placed
5,Male,19,Peshawar,DS,7,734,1097,94,3.4,3.41,50,3.9,8.4,5.7,Medium,Medium,Low,Advanced,1,10,4,10,8,4,3,Yes,10,No,No,Low,Bus,6,Fluent,50,3,1,Placed
6,Male,19,Peshawar,SE,3,1046,910,84,3.91,4.0,82,4.1,5.3,3.3,High,High,Low,Advanced,3,4,6,10,10,14,5,Yes,4,Yes,Yes,Middle,Bus,9,Weak,87,37,1,Placed
7,Male,21,Peshawar,IT,1,848,709,99,1.83,2.27,95,3.0,5.4,3.1,High,Low,High,Intermediate,9,9,7,3,7,6,6,No,0,No,No,Middle,Walk,2,Good,42,41,5,Placed
8,Female,19,Abbottabad,AI,4,836,727,39,2.61,2.97,52,4.5,4.9,0.8,Low,Low,Medium,Intermediate,8,1,0,10,8,2,0,No,0,No,No,Low,Walk,4,Good,51,0,3,Placed
9,Female,24,Swat,ME,3,877,631,70,1.64,1.72,52,2.7,6.9,5.8,High,Low,Medium,Beginner,8,8,2,0,8,5,1,Yes,7,Yes,Yes,High,Bus,2,Good,38,42,4,Not Placed
10,Male,21,Karachi,DS,7,984,1079,39,1.52,1.64,48,5.5,5.6,1.8,High,High,Medium,Advanced,9,1,1,8,3,8,8,Yes,4,No,No,Low,Walk,3,Good,74,39,5,Placed
11,Female,19,Lahore,SE,5,744,909,56,3.29,2.99,47,7.2,4.8,4.5,Low,High,Medium,Beginner,10,4,8,7,4,2,0,Yes,1,No,Yes,High,Bike,7,Weak,65,35,5,Placed
12,Male,19,Swat,SE,1,621,757,76,3.75,4.0,93,3.3,6.1,3.3,Low,High,Medium,Beginner,0,5,3,10,3,11,1,Yes,4,Yes,Yes,Middle,Bus,9,Weak,82,50,3,Placed
13,Female,24,Swat,CS,8,1020,1007,59,2.06,2.22,54,2.0,5.7,5.5,High,Medium,Low,Advanced,6,5,4,1,4,20,5,No,0,Yes,Yes,Middle,Car,9,Good,81,6,4,Placed
14,Female,24,Karachi,IT,7,600,866,98,3.22,3.66,97,4.8,7.5,1.5,High,Medium,High,Intermediate,10,3,5,6,1,19,5,No,0,No,No,Middle,Walk,6,Average,45,8,1,Placed
15,Male,22,Islamabad,EE,1,935,764,89,2.6,2.78,59,2.7,6.9,2.6,Low,Low,Low,Intermediate,8,7,2,10,1,16,4,Yes,4,No,Yes,Low,Car,10,Average,72,30,4,Placed
16,Male,24,Abbottabad,ME,7,1040,994,43,3.45,3.17,55,1.6,8.5,4.1,Low,High,Medium,Advanced,8,7,0,8,3,14,1,No,0,No,No,High,Walk,3,Good,89,28,2,Placed
17,Female,26,Islamabad,ME,4,771,763,99,1.7,1.35,57,3.8,5.2,4.3,High,High,Low,Beginner,6,2,3,1,6,10,6,No,0,Yes,Yes,Middle,Walk,9,Good,89,48,4,Placed
18,Female,22,Swat,EE,7,712,849,58,2.18,2.17,74,6.1,7.0,3.3,Low,Medium,Low,Beginner,6,5,10,10,6,14,2,Yes,7,Yes,Yes,High,Walk,3,Fluent,98,3,2,Placed
19,Female,23,Abbottabad,BBA,7,641,840,32,3.37,2.92,57,6.1,5.3,5.0,High,Low,High,Intermediate,5,3,10,1,10,0,0,Yes,10,Yes,Yes,Low,Walk,4,Average,55,13,3,Placed
20,Female,19,Karachi,SE,5,1064,1090,78,2.49,2.71,46,4.8,6.9,5.6,Low,Medium,Medium,Intermediate,1,9,10,3,1,19,4,No,0,No,No,Low,Bike,2,Average,35,6,3,Placed
21,Female,24,Lahore,SE,5,823,1022,64,2.31,2.06,79,6.6,6.4,3.2,Medium,Medium,Medium,Beginner,1,4,7,3,7,10,6,No,0,Yes,No,Low,Bike,1,Average,93,38,5,Placed
